Overriding config with config/train_cores_85m_test.py:
# Cores-AI TR - 85M Test Modeli - Colab T4 (16GB VRAM)
# Faz A: Pipeline dogrulama, hizli test
# Kullanim: python train.py config/train_cores_85m_test.py

out_dir = '/content/drive/MyDrive/Cores-AI TR v1.0.0-85M/out-cores-85m-test'
eval_interval = 250
eval_iters = 50
log_interval = 10
always_save_checkpoint = True
wandb_log = False

# Veri
dataset = 'turkce'

# Model - 85M
n_layer = 10
n_head = 10
n_embd = 640
dropout = 0.0
bias = False

# Batch - Colab T4 (16GB) için OPTIMIZE
batch_size = 16                   # 2 -> 16 (T4 rahat kaldırır)
block_size = 512                  # 256 -> 512 (daha uzun bağlam)
gradient_accumulation_steps = 5   # 20 -> 5 (efektif batch = 16 × 5 = 80)

# Optimizer
learning_rate = 3e-4
max_iters = 5000
weight_decay = 1e-1
beta1 = 0.9
beta2 = 0.95
grad_clip = 1.0

# LR schedule
decay_lr = True
warmup_iters = 500
lr_decay_iters = 5000
min_lr = 3e-5

# Sistem - Colab T4
device = 'cuda'
dtype = 'float16'                 # T4 bfloat16 desteklemez
compile = False                    # Colab'da Triton var, ÇALIŞIR! (hız)

# Gradient checkpointing - T4'te VRAM rahat, KAPAT (hız)
use_gradient_checkpointing = False
tokens per iteration will be: 40,960
found vocab_size = 50000 (inside data/turkce/meta.pkl)
Initializing a new model from scratch
number of parameters: 81.17M
/content/nanoGPT/train.py:202: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 42, with 81,479,680 parameters
num non-decayed parameter tensors: 21, with 13,440 parameters
using fused AdamW: True
iter 1200: loss 3.3405, time 1883.96ms, mfu 393.00%
iter 1210: loss 2.7511, time 1881.47ms, mfu 393.21%
iter 1220: loss 4.2621, time 1871.94ms, mfu 393.60%
iter 1230: loss 3.2092, time 1874.97ms, mfu 393.88%
iter 1240: loss 4.1276, time 1868.91ms, mfu 394.27%
step 1250: train loss 3.6589, val loss 3.2184
saving checkpoint to /content/drive/MyDrive/Cores-AI TR v1.0.0-85M/out-cores-85m-test
iter 1250: loss 4.7035, time 21126.85ms, mfu 358.36%
iter 1260: loss 4.3284, time 1938.33ms, mfu 360.88%
iter 1270: loss 2.4862, time 1866.27ms, mfu 364.62%
iter 1280: loss 3.3575, time 1839.81ms, mfu 368.56%
iter 1290: loss 3.5060, time 1866.70ms, mfu 371.53%
iter 1300: loss 3.7165, time 1872.70ms, mfu 374.07%
iter 1310: loss 3.7383, time 1882.64ms, mfu 376.15%
iter 1320: loss 4.2170, time 1866.31ms, mfu 378.37%
iter 1330: loss 4.2432, time 1864.74ms, mfu 380.40%
iter 1340: loss 3.3221, time 1853.58ms, mfu 382.46%
iter 1350: loss 3.8371, time 1844.38ms, mfu 384.52%
iter 1360: loss 2.3493, time 1842.78ms, mfu 386.41%
iter 1370: loss 2.8539, time 1865.72ms, mfu 387.61%
iter 1380: loss 3.3726, time 1869.66ms, mfu 388.61%
iter 1390: loss 3.4476, time 1871.36ms, mfu 389.47%
iter 1400: loss 3.4021, time 1863.08ms, mfu 390.42%
iter 1410: loss 2.6573, time 1874.91ms, mfu 391.03%
iter 1420: loss 3.1797, time 1874.88ms, mfu 391.58%
iter 1430: loss 3.5013, time 1872.39ms, mfu 392.12%
iter 1440: loss 3.4305, time 1863.46ms, mfu 392.80%
iter 1450: loss 3.3819, time 1876.61ms, mfu 393.13%
iter 1460: loss 3.8004, time 1876.62ms, mfu 393.43%
iter 1470: loss 3.2069, time 1876.65ms, mfu 393.70%
iter 1480: loss 3.0324, time 1868.76ms, mfu 394.11%
iter 1490: loss 3.2984, time 1874.81ms, mfu 394.35%
step 1500: train loss 3.4023, val loss 2.9465
saving checkpoint to /content/drive/MyDrive/Cores-AI TR v1.0.0-85M/out-cores-85m-test
iter 1500: loss 3.9485, time 19701.05ms, mfu 358.69%
iter 1510: loss 3.0974, time 1935.29ms, mfu 361.23%
iter 1520: loss 3.0234, time 1849.09ms, mfu 365.31%
iter 1530: loss 4.2391, time 1836.90ms, mfu 369.25%
iter 1540: loss 3.4014, time 1878.89ms, mfu 371.89%
iter 1550: loss 3.5391, time 1880.95ms, mfu 374.22%
iter 1560: loss 4.2176, time 1877.90ms, mfu 376.38%
iter 1570: loss 4.2347, time 1853.20ms, mfu 378.86%
iter 1580: loss 2.9053, time 1859.24ms, mfu 380.95%
iter 1590: loss 3.6011, time 1859.17ms, mfu 382.84%
iter 1600: loss 3.7622, time 1851.72ms, mfu 384.70%
iter 1610: loss 3.1866, time 1863.23ms, mfu 386.13%
iter 1620: loss 3.0713, time 1861.34ms, mfu 387.46%
iter 1630: loss 3.5953, time 1852.77ms, mfu 388.83%
iter 1640: loss 3.3330, time 1870.01ms, mfu 389.70%
iter 1650: loss 3.1194, time 1867.28ms, mfu 390.54%
iter 1660: loss 2.5538, time 1858.79ms, mfu 391.48%
iter 1670: loss 3.1397, time 1864.15ms, mfu 392.21%
iter 1680: loss 3.3660, time 1850.59ms, mfu 393.16%
iter 1690: loss 2.9362, time 1860.86ms, mfu 393.79%
iter 1700: loss 2.8258, time 1862.70ms, mfu 394.32%
iter 1710: loss 3.5065, time 1863.44ms, mfu 394.78%
iter 1720: loss 3.2803, time 1861.73ms, mfu 395.23%
iter 1730: loss 3.9610, time 1860.76ms, mfu 395.66%
iter 1740: loss 3.1284, time 1855.94ms, mfu 396.15%
step 1750: train loss 3.3684, val loss 3.0980
saving checkpoint to /content/drive/MyDrive/Cores-AI TR v1.0.0-85M/out-cores-85m-test
iter 1750: loss 3.1378, time 24464.16ms, mfu 359.57%
iter 1760: loss 3.5810, time 1946.03ms, mfu 361.81%
iter 1770: loss 3.6158, time 1931.66ms, mfu 364.12%
iter 1780: loss 3.2710, time 1838.80ms, mfu 368.13%
iter 1790: loss 3.4902, time 1815.78ms, mfu 372.26%
iter 1800: loss 3.7905, time 1867.11ms, mfu 374.85%
iter 1810: loss 3.2656, time 1887.58ms, mfu 376.74%
iter 1820: loss 3.2959, time 1849.43ms, mfu 379.26%
iter 1830: loss 3.2263, time 1841.29ms, mfu 381.71%
iter 1840: loss 3.4979, time 1869.39ms, mfu 383.30%
iter 1850: loss 3.4348, time 1882.12ms, mfu 384.47%
iter 1860: loss 4.0697, time 1877.53ms, mfu 385.62%
iter 1870: loss 3.3258, time 1875.79ms, mfu 386.68%
iter 1880: loss 3.7407, time 1874.35ms, mfu 387.68%
iter 1890: loss 3.0345, time 1868.68ms, mfu 388.69%
iter 1900: loss 3.3791, time 1863.17ms, mfu 389.72%
iter 1910: loss 3.2378, time 1861.98ms, mfu 390.67%
iter 1920: loss 3.7965, time 1868.65ms, mfu 391.39%
iter 1930: loss 4.2102, time 1846.80ms, mfu 392.50%
iter 1940: loss 3.0564, time 1863.48ms, mfu 393.14%
iter 1950: loss 3.2777, time 1860.23ms, mfu 393.79%
iter 1960: loss 3.3635, time 1865.28ms, mfu 394.26%
iter 1970: loss 3.2620, time 1859.30ms, mfu 394.82%
iter 1980: loss 2.7520, time 1854.87ms, mfu 395.41%
iter 1990: loss 3.1763, time 1861.69ms, mfu 395.80%
step 2000: train loss 3.1162, val loss 3.0518
saving checkpoint to /content/drive/MyDrive/Cores-AI TR v1.0.0-85M/out-cores-85m-test
iter 2000: loss 3.2214, time 20885.46ms, mfu 359.78%
iter 2010: loss 2.4384, time 1942.26ms, mfu 362.08%
iter 2020: loss 2.8721, time 1871.52ms, mfu 365.59%
iter 2030: loss 3.1301, time 1842.50ms, mfu 369.38%
iter 2040: loss 3.9312, time 1861.05ms, mfu 372.38%
iter 2050: loss 3.1226, time 1895.01ms, mfu 374.37%
iter 2060: loss 3.5338, time 1867.03ms, mfu 376.75%
iter 2070: loss 3.1362, time 1858.77ms, mfu 379.07%
iter 2080: loss 3.2247, time 1858.91ms, mfu 381.15%
iter 2090: loss 4.0220, time 1851.83ms, mfu 383.18%
iter 2100: loss 2.9576, time 1849.71ms, mfu 385.05%
iter 2110: loss 3.2641, time 1867.18ms, mfu 386.36%
iter 2120: loss 3.6251, time 1867.97ms, mfu 387.52%
iter 2130: loss 2.9676, time 1878.06ms, mfu 388.35%
iter 2140: loss 3.1942, time 1869.00ms, mfu 389.29%
iter 2150: loss 2.8405, time 1882.57ms, mfu 389.85%
iter 2160: loss 3.2916, time 1884.27ms, mfu 390.31%
iter 2170: loss 3.4152, time 1871.24ms, mfu 391.01%
iter 2180: loss 2.4909, time 1871.31ms, mfu 391.63%
iter 2190: loss 3.2758, time 1871.73ms, mfu 392.18%
iter 2200: loss 3.9103, time 1875.03ms, mfu 392.61%
iter 2210: loss 2.8668, time 1882.52ms, mfu 392.84%
iter 2220: loss 3.1529, time 1862.88ms, mfu 393.46%
iter 2230: loss 3.0765, time 1878.95ms, mfu 393.68%
iter 2240: loss 3.3155, time 1877.39ms, mfu 393.90%
step 2250: train loss 3.0354, val loss 3.0291
saving checkpoint to /content/drive/MyDrive/Cores-AI TR v1.0.0-85M/out-cores-85m-test
iter 2250: loss 3.2764, time 20919.40ms, mfu 358.07%
iter 2260: loss 3.1899, time 1952.02ms, mfu 360.34%
iter 2270: loss 2.8694, time 1877.29ms, mfu 363.91%
iter 2280: loss 3.3759, time 1839.78ms, mfu 367.92%
iter 2290: loss 3.8266, time 1861.55ms, mfu 371.06%
iter 2300: loss 3.3793, time 1887.41ms, mfu 373.34%
iter 2310: loss 3.0416, time 1870.22ms, mfu 375.76%
iter 2320: loss 2.3195, time 1844.70ms, mfu 378.48%
iter 2330: loss 3.1228, time 1841.10ms, mfu 381.01%
iter 2340: loss 3.6532, time 1864.69ms, mfu 382.77%
iter 2350: loss 3.1711, time 1869.64ms, mfu 384.26%
iter 2360: loss 3.7008, time 1886.14ms, mfu 385.24%
iter 2370: loss 2.7935, time 1882.16ms, mfu 386.21%
iter 2380: loss 3.1994, time 1878.61ms, mfu 387.16%
iter 2390: loss 3.4425, time 1883.08ms, mfu 387.92%
iter 2400: loss 2.9904, time 1884.33ms, mfu 388.58%
iter 2410: loss 3.1714, time 1870.01ms, mfu 389.48%
iter 2420: loss 2.8698, time 1879.14ms, mfu 390.09%
iter 2430: loss 3.3117, time 1874.35ms, mfu 390.74%
iter 2440: loss 3.3152, time 1873.93ms, mfu 391.33%
iter 2450: loss 2.9097, time 1882.77ms, mfu 391.68%
iter 2460: loss 3.3980, time 1876.73ms, mfu 392.13%
iter 2470: loss 2.2361, time 1878.42ms, mfu 392.49%
